cell_type,effect_class,gene,primary_comparison,logfoldchanges,pvals_adj,direction
B_cell,unique_40nm,CSTF3-AS1,PSNP_40nm_vs_control,-1.0707107782363892,2.8444245011171646e-06,DOWN
B_cell,unique_40nm,CTB-91J4.1,PSNP_40nm_vs_control,-0.32793113589286804,3.0509462509449535e-06,DOWN
B_cell,unique_40nm,CTB-99A3.1,PSNP_40nm_vs_control,0.2648894786834717,6.8637436497046265e-280,UP
B_cell,unique_40nm,CTC-550B14.7,PSNP_40nm_vs_control,0.7447719573974609,0.007892280786292756,UP
B_cell,unique_40nm,CTD-2165H16.4,PSNP_40nm_vs_control,6.165557384490967,7.306770066813878e-49,UP
B_cell,unique_40nm,CXCR6,PSNP_40nm_vs_control,-0.4078538715839386,2.494252230966684e-263,DOWN
B_cell,unique_40nm,CYP4F35P,PSNP_40nm_vs_control,-0.27676868438720703,3.0084559987860416e-07,DOWN
B_cell,unique_40nm,DERL3,PSNP_40nm_vs_control,-0.2745640277862549,5.468164046279043e-152,DOWN
B_cell,unique_40nm,DLG5,PSNP_40nm_vs_control,-0.3251112699508667,6.464236613435075e-08,DOWN
B_cell,unique_40nm,DTHD1,PSNP_40nm_vs_control,-0.3582693040370941,5.390076122591788e-07,DOWN
B_cell,unique_40nm,EMR2,PSNP_40nm_vs_control,-0.702796995639801,2.2928391518548098e-272,DOWN
B_cell,unique_40nm,EPDR1,PSNP_40nm_vs_control,-2.298098564147949,2.0159761428421036e-277,DOWN
B_cell,unique_40nm,EPHA6,PSNP_40nm_vs_control,-1.725113868713379,1.1448292047078885e-270,DOWN
B_cell,unique_40nm,ERRFI1,PSNP_40nm_vs_control,-0.7162232995033264,3.950568914926509e-54,DOWN
B_cell,unique_40nm,FAM129A,PSNP_40nm_vs_control,-0.28371402621269226,1.1373610621723474e-158,DOWN
B_cell,unique_40nm,FAM13A,PSNP_40nm_vs_control,-0.4028916656970978,1.1070024025181698e-05,DOWN
B_cell,unique_40nm,FAM168A,PSNP_40nm_vs_control,2.9911670684814453,9.594795611573241e-05,UP
B_cell,unique_40nm,FANK1,PSNP_40nm_vs_control,-1.8289458751678467,2.4007437712427475e-271,DOWN
B_cell,unique_40nm,FBXO34,PSNP_40nm_vs_control,-0.4782750904560089,1.3097597304802768e-49,DOWN
B_cell,unique_40nm,FCGR3A,PSNP_40nm_vs_control,-0.2874501347541809,3.6990593288893245e-253,DOWN
B_cell,unique_40nm,FCHO2,PSNP_40nm_vs_control,-0.6322510838508606,1.6634505866305817e-174,DOWN
B_cell,unique_40nm,FNDC3B,PSNP_40nm_vs_control,-0.3351598381996155,8.696912382737527e-108,DOWN
B_cell,unique_40nm,FOXD2,PSNP_40nm_vs_control,0.7535442113876343,6.8637436497046265e-280,UP
B_cell,unique_40nm,FPR1,PSNP_40nm_vs_control,-0.840284526348114,2.0809927627732804e-278,DOWN
B_cell,unique_40nm,FRMD4B,PSNP_40nm_vs_control,-0.7140653133392334,2.3024281561092327e-270,DOWN
B_cell,unique_40nm,FRY,PSNP_40nm_vs_control,-0.7005020380020142,5.128699669074837e-251,DOWN
B_cell,unique_40nm,GAL3ST4,PSNP_40nm_vs_control,-0.323961079120636,5.537900538631656e-48,DOWN
B_cell,unique_40nm,GALM,PSNP_40nm_vs_control,-0.34192293882369995,1.0585344827119304e-173,DOWN
B_cell,unique_40nm,GCNT2,PSNP_40nm_vs_control,-0.716205358505249,5.2552614685478205e-93,DOWN
B_cell,unique_40nm,GEM,PSNP_40nm_vs_control,0.30083203315734863,3.251179205850213e-267,UP
B_cell,unique_40nm,GFPT2,PSNP_40nm_vs_control,-0.5725899338722229,9.473276069840819e-45,DOWN
B_cell,unique_40nm,GLB1L2,PSNP_40nm_vs_control,0.3230583071708679,6.412871280817103e-278,UP
