cell_type,effect_class,gene,primary_comparison,logfoldchanges,pvals_adj,direction
B_cell,shared_all_three,ESR1,PSNP_mix_40_200_vs_control,2.640651226043701,1.3101372277068798e-32,UP
B_cell,shared_all_three,ESRRG,PSNP_mix_40_200_vs_control,1.284570336341858,1.325330985096222e-05,UP
B_cell,shared_all_three,EYA2,PSNP_mix_40_200_vs_control,-0.40840837359428406,3.7999863530790496e-54,DOWN
B_cell,shared_all_three,F3,PSNP_mix_40_200_vs_control,0.5460765361785889,6.7532149381916215e-06,UP
B_cell,shared_all_three,FABP5,PSNP_mix_40_200_vs_control,-0.46716660261154175,8.747633329467557e-15,DOWN
B_cell,shared_all_three,FADS6,PSNP_mix_40_200_vs_control,1.2979594469070435,4.14514704836514e-306,UP
B_cell,shared_all_three,FAM110B,PSNP_mix_40_200_vs_control,-0.4003903865814209,1.0321918087768708e-65,DOWN
B_cell,shared_all_three,FAM126A,PSNP_mix_40_200_vs_control,-0.7687989473342896,4.507380055724347e-137,DOWN
B_cell,shared_all_three,FAM174B,PSNP_mix_40_200_vs_control,0.309965044260025,3.8079630272571326e-51,UP
B_cell,shared_all_three,FAM19A5,PSNP_mix_40_200_vs_control,-2.1498830318450928,1.135011856340486e-302,DOWN
B_cell,shared_all_three,FAM43A,PSNP_mix_40_200_vs_control,-0.3156614601612091,4.444482770801228e-46,DOWN
B_cell,shared_all_three,FAM46C,PSNP_mix_40_200_vs_control,1.0409947633743286,1.5461649518303367e-78,UP
B_cell,shared_all_three,FAM83D,PSNP_mix_40_200_vs_control,-1.641185998916626,1.1423209371592911e-272,DOWN
B_cell,shared_all_three,FANCC,PSNP_mix_40_200_vs_control,-0.36053186655044556,2.7636656314552124e-37,DOWN
B_cell,shared_all_three,FASN,PSNP_mix_40_200_vs_control,-2.1916661262512207,3.4963114594585582e-255,DOWN
B_cell,shared_all_three,FBN3,PSNP_mix_40_200_vs_control,1.1011111736297607,7.219628821796963e-56,UP
B_cell,shared_all_three,FGD4,PSNP_mix_40_200_vs_control,-0.436506062746048,1.9835943424304289e-50,DOWN
B_cell,shared_all_three,FGF2,PSNP_mix_40_200_vs_control,1.458351969718933,1.1553175431537362e-05,UP
B_cell,shared_all_three,FHAD1,PSNP_mix_40_200_vs_control,-0.2680723965167999,5.105722399245798e-295,DOWN
B_cell,shared_all_three,FKBP6,PSNP_mix_40_200_vs_control,-2.5308899879455566,4.14514704836514e-306,DOWN
B_cell,shared_all_three,FNDC7,PSNP_mix_40_200_vs_control,1.661776065826416,1.2552368084726478e-55,UP
B_cell,shared_all_three,FOS,PSNP_mix_40_200_vs_control,-1.52204430103302,1.9958552689528188e-07,DOWN
B_cell,shared_all_three,FRMD6,PSNP_mix_40_200_vs_control,0.33970290422439575,2.9547799433175493e-65,UP
B_cell,shared_all_three,FSCN1,PSNP_mix_40_200_vs_control,-1.2819726467132568,1.1843462775853299e-65,DOWN
B_cell,shared_all_three,G0S2,PSNP_mix_40_200_vs_control,0.37212806940078735,2.489463566014172e-07,UP
B_cell,shared_all_three,GAB2,PSNP_mix_40_200_vs_control,0.49004170298576355,2.3983947486294406e-05,UP
B_cell,shared_all_three,GALNT2,PSNP_mix_40_200_vs_control,0.8826297521591187,1.2135923141566703e-07,UP
B_cell,shared_all_three,GAS7,PSNP_mix_40_200_vs_control,-0.8512593507766724,3.0007350871394e-24,DOWN
B_cell,shared_all_three,GBP5,PSNP_mix_40_200_vs_control,-2.5508511066436768,1.1668927583222295e-114,DOWN
B_cell,shared_all_three,GCNT1,PSNP_mix_40_200_vs_control,0.40759479999542236,9.033777816698665e-21,UP
B_cell,shared_all_three,GDPD1,PSNP_mix_40_200_vs_control,-1.9457001686096191,4.097590378194632e-247,DOWN
B_cell,shared_all_three,GK,PSNP_mix_40_200_vs_control,-0.2653284966945648,0.008564021491697837,DOWN
B_cell,shared_all_three,GLI3,PSNP_mix_40_200_vs_control,0.2758031189441681,1.625668883469402e-304,UP
B_cell,shared_all_three,GLIPR2,PSNP_mix_40_200_vs_control,0.65408855676651,5.044021859026353e-42,UP
B_cell,shared_all_three,GLIS1,PSNP_mix_40_200_vs_control,-0.3600446581840515,1.625668883469402e-304,DOWN
B_cell,shared_all_three,GLRA1,PSNP_mix_40_200_vs_control,0.6200627684593201,2.314814393305303e-65,UP
B_cell,shared_all_three,GNG8,PSNP_mix_40_200_vs_control,0.45788878202438354,4.260331164161336e-05,UP
B_cell,shared_all_three,GOLGA8Q,PSNP_mix_40_200_vs_control,0.5049616098403931,2.9301234400501863e-05,UP
B_cell,shared_all_three,GPR156,PSNP_mix_40_200_vs_control,0.5701930522918701,1.567586102502557e-52,UP
B_cell,shared_all_three,GPR176,PSNP_mix_40_200_vs_control,0.5371154546737671,6.886980677593812e-67,UP
B_cell,shared_all_three,GPR85,PSNP_mix_40_200_vs_control,1.5276952981948853,1.3576896452407234e-05,UP
B_cell,shared_all_three,GPR98,PSNP_mix_40_200_vs_control,1.5089157819747925,1.1941573558832202e-64,UP
B_cell,shared_all_three,GRM5,PSNP_mix_40_200_vs_control,-0.8597661256790161,3.952133772703337e-67,DOWN
B_cell,shared_all_three,GS1-122H1.2,PSNP_mix_40_200_vs_control,-0.48541173338890076,1.869542762400703e-55,DOWN
B_cell,shared_all_three,GSC,PSNP_mix_40_200_vs_control,0.6352664828300476,4.14514704836514e-306,UP
B_cell,shared_all_three,GSTCD,PSNP_mix_40_200_vs_control,-1.2764719724655151,1.0482805926033276e-31,DOWN
B_cell,shared_all_three,GUCY1A2,PSNP_mix_40_200_vs_control,1.253237247467041,4.14514704836514e-306,UP
B_cell,shared_all_three,GUCY1A3,PSNP_mix_40_200_vs_control,-2.8150854110717773,3.0682146375093207e-54,DOWN
B_cell,shared_all_three,HBB,PSNP_mix_40_200_vs_control,1.2353464365005493,3.425447613526507e-297,UP
B_cell,shared_all_three,HEPHL1,PSNP_mix_40_200_vs_control,-1.3941789865493774,2.1245370754235442e-291,DOWN
B_cell,shared_all_three,HESX1,PSNP_mix_40_200_vs_control,0.41360363364219666,7.719085670787123e-54,UP
B_cell,shared_all_three,HIBADH,PSNP_mix_40_200_vs_control,-1.4167225360870361,1.2383556383330305e-17,DOWN
B_cell,shared_all_three,HIF1A-AS2,PSNP_mix_40_200_vs_control,0.822866678237915,6.040795329273818e-16,UP
B_cell,shared_all_three,HIST1H2AH,PSNP_mix_40_200_vs_control,1.8064192533493042,1.077628236374634e-53,UP
B_cell,shared_all_three,HIST1H2BG,PSNP_mix_40_200_vs_control,1.6081725358963013,2.9627748118011013e-301,UP
B_cell,shared_all_three,HIST1H3D,PSNP_mix_40_200_vs_control,-0.6136555671691895,3.5476535041706366e-27,DOWN
B_cell,shared_all_three,HIST1H3H,PSNP_mix_40_200_vs_control,0.7571141123771667,1.9580198754596001e-302,UP
B_cell,shared_all_three,HLA-DPA1,PSNP_mix_40_200_vs_control,-0.518242359161377,1.404930155661026e-22,DOWN
B_cell,shared_all_three,HLA-DRA,PSNP_mix_40_200_vs_control,-0.5126479268074036,8.915367039635845e-43,DOWN
B_cell,shared_all_three,HLA-DRB1,PSNP_mix_40_200_vs_control,-0.4419606029987335,3.218793994999598e-23,DOWN
B_cell,shared_all_three,HLTF,PSNP_mix_40_200_vs_control,0.3600110411643982,1.1489166102078992e-40,UP
B_cell,shared_all_three,HMOX1,PSNP_mix_40_200_vs_control,-0.6697977185249329,8.306935964858929e-200,DOWN
B_cell,shared_all_three,HNF4G,PSNP_mix_40_200_vs_control,0.6206104755401611,2.1534654844028582e-05,UP
B_cell,shared_all_three,HOMER1,PSNP_mix_40_200_vs_control,0.7995319962501526,5.669214456919493e-38,UP
B_cell,shared_all_three,HORMAD2,PSNP_mix_40_200_vs_control,-1.0327376127243042,8.170831465764293e-55,DOWN
B_cell,shared_all_three,HS3ST2,PSNP_mix_40_200_vs_control,0.3964349031448364,3.682033830044396e-67,UP
B_cell,shared_all_three,HSD11B1,PSNP_mix_40_200_vs_control,0.3190213143825531,2.607824188722185e-66,UP
B_cell,shared_all_three,HSDL2,PSNP_mix_40_200_vs_control,1.2296689748764038,3.6587976219085956e-30,UP
B_cell,shared_all_three,HSPA1A,PSNP_mix_40_200_vs_control,0.46600788831710815,1.3483426685180052e-55,UP
B_cell,shared_all_three,HSPG2,PSNP_mix_40_200_vs_control,-1.7662487030029297,7.113704294186756e-299,DOWN
B_cell,shared_all_three,ID1,PSNP_mix_40_200_vs_control,0.6301230788230896,2.424938156186979e-66,UP
B_cell,shared_all_three,IER5L,PSNP_mix_40_200_vs_control,0.6651639938354492,6.581845568612787e-05,UP
B_cell,shared_all_three,IL12A-AS1,PSNP_mix_40_200_vs_control,2.4081106185913086,4.3506243488143635e-05,UP
B_cell,shared_all_three,IL15,PSNP_mix_40_200_vs_control,-1.1540676355361938,9.042048778114741e-33,DOWN
B_cell,shared_all_three,IL17RD,PSNP_mix_40_200_vs_control,-2.854353189468384,1.135011856340486e-302,DOWN
B_cell,shared_all_three,IL19,PSNP_mix_40_200_vs_control,0.8058225512504578,1.7645098792424814e-05,UP
B_cell,shared_all_three,IL1A,PSNP_mix_40_200_vs_control,0.2759642004966736,2.9222487408796174e-05,UP
B_cell,shared_all_three,IL1R1,PSNP_mix_40_200_vs_control,0.29005372524261475,7.998172599829854e-06,UP
B_cell,shared_all_three,IL24,PSNP_mix_40_200_vs_control,1.0774041414260864,7.569461824678195e-41,UP
B_cell,shared_all_three,IL26,PSNP_mix_40_200_vs_control,-1.4498225450515747,3.7348027244604744e-54,DOWN
B_cell,shared_all_three,IL36G,PSNP_mix_40_200_vs_control,0.2696392238140106,2.0429418045318137e-05,UP
B_cell,shared_all_three,ITGA2,PSNP_mix_40_200_vs_control,0.3575058877468109,1.766528552719074e-05,UP
B_cell,shared_all_three,ITGA2B,PSNP_mix_40_200_vs_control,0.45853158831596375,3.672937909441553e-54,UP
B_cell,shared_all_three,ITGAX,PSNP_mix_40_200_vs_control,-0.4834238886833191,0.0007329762615297757,DOWN
B_cell,shared_all_three,ITGB8,PSNP_mix_40_200_vs_control,0.3245396018028259,1.873948703292541e-07,UP
B_cell,shared_all_three,ITSN1,PSNP_mix_40_200_vs_control,-0.5773806571960449,8.942922785569175e-280,DOWN
B_cell,shared_all_three,IZUMO2,PSNP_mix_40_200_vs_control,0.6609707474708557,4.14514704836514e-306,UP
B_cell,shared_all_three,KAZN,PSNP_mix_40_200_vs_control,-1.0863516330718994,2.6437947862476695e-289,DOWN
B_cell,shared_all_three,KCNE3,PSNP_mix_40_200_vs_control,-0.8878841996192932,3.8210114351095585e-55,DOWN
B_cell,shared_all_three,KCNH8,PSNP_mix_40_200_vs_control,-0.879971981048584,7.621775984194165e-56,DOWN
B_cell,shared_all_three,KCNIP4,PSNP_mix_40_200_vs_control,0.7133328914642334,1.804224136555936e-287,UP
B_cell,shared_all_three,KCNQ3,PSNP_mix_40_200_vs_control,0.6110332608222961,1.827694815712086e-55,UP
B_cell,shared_all_three,KCTD16,PSNP_mix_40_200_vs_control,0.9202361702919006,6.93698429840336e-05,UP
B_cell,shared_all_three,KIAA0125,PSNP_mix_40_200_vs_control,-0.5644849538803101,9.63240171534821e-198,DOWN
B_cell,shared_all_three,KIAA0319,PSNP_mix_40_200_vs_control,1.3874521255493164,1.5453528159255433e-55,UP
B_cell,shared_all_three,KIAA1377,PSNP_mix_40_200_vs_control,1.3440097570419312,4.221279101632942e-32,UP
B_cell,shared_all_three,KIAA1549,PSNP_mix_40_200_vs_control,0.7707592844963074,3.823805992891429e-05,UP
B_cell,shared_all_three,KIAA1958,PSNP_mix_40_200_vs_control,0.9961563348770142,4.041953594298336e-18,UP
B_cell,shared_all_three,KIF26B,PSNP_mix_40_200_vs_control,-1.3125325441360474,5.8117767914644845e-269,DOWN
B_cell,shared_all_three,KIR2DL2,PSNP_mix_40_200_vs_control,0.2635405957698822,8.730905113781143e-301,UP
B_cell,shared_all_three,KIR3DX1,PSNP_mix_40_200_vs_control,0.34759408235549927,1.135011856340486e-302,UP
B_cell,shared_all_three,KLF5,PSNP_mix_40_200_vs_control,-0.5584343075752258,4.101910385302286e-63,DOWN
B_cell,shared_all_three,KLHL2,PSNP_mix_40_200_vs_control,0.7207403182983398,1.0402474532450777e-36,UP
B_cell,shared_all_three,KMO,PSNP_mix_40_200_vs_control,-0.6771916747093201,2.685993292651941e-29,DOWN
B_cell,shared_all_three,KMT2E-AS1,PSNP_mix_40_200_vs_control,-0.8142614364624023,5.178159165479015e-172,DOWN
B_cell,shared_all_three,KYNU,PSNP_mix_40_200_vs_control,-1.6340643167495728,7.273301198972044e-06,DOWN
B_cell,shared_all_three,LA16c-444G7.1,PSNP_mix_40_200_vs_control,2.255561590194702,4.105513580270258e-56,UP
B_cell,shared_all_three,LACE1,PSNP_mix_40_200_vs_control,-0.8177506327629089,5.090680136330106e-35,DOWN
B_cell,shared_all_three,LCT,PSNP_mix_40_200_vs_control,-1.5738210678100586,8.730905113781143e-301,DOWN
B_cell,shared_all_three,LDB2,PSNP_mix_40_200_vs_control,0.4141653776168823,1.0406132059764855e-55,UP
B_cell,shared_all_three,LEKR1,PSNP_mix_40_200_vs_control,1.5645337104797363,2.7290074131921377e-44,UP
B_cell,shared_all_three,LGALS1,PSNP_mix_40_200_vs_control,0.7243893146514893,9.647022935228588e-25,UP
B_cell,shared_all_three,LGR4,PSNP_mix_40_200_vs_control,3.7527451515197754,1.5113798377163427e-283,UP
B_cell,shared_all_three,LHFPL2,PSNP_mix_40_200_vs_control,1.1585971117019653,0.0018474018406814056,UP
B_cell,shared_all_three,LIMD1-AS1,PSNP_mix_40_200_vs_control,-4.796588897705078,3.677690634292479e-63,DOWN
B_cell,shared_all_three,LINC00334,PSNP_mix_40_200_vs_control,2.3292672634124756,1.4210323045505772e-44,UP
B_cell,shared_all_three,LINC00412,PSNP_mix_40_200_vs_control,0.7614932060241699,3.3585005052138646e-56,UP
B_cell,shared_all_three,LINC00461,PSNP_mix_40_200_vs_control,-1.5097789764404297,1.7305691727653833e-05,DOWN
B_cell,shared_all_three,LINC00511,PSNP_mix_40_200_vs_control,0.9246102571487427,2.769239534959395e-05,UP
B_cell,shared_all_three,LINC00534,PSNP_mix_40_200_vs_control,-0.30037030577659607,1.5249009965662462e-05,DOWN
B_cell,shared_all_three,LINC00578,PSNP_mix_40_200_vs_control,0.8184182643890381,2.5691048648588733e-67,UP
B_cell,shared_all_three,LINC00693,PSNP_mix_40_200_vs_control,-1.4893585443496704,1.625668883469402e-304,DOWN
B_cell,shared_all_three,LINC00936,PSNP_mix_40_200_vs_control,-0.5269726514816284,2.305928087439201e-111,DOWN
B_cell,shared_all_three,LINC01088,PSNP_mix_40_200_vs_control,-0.4976901710033417,1.748646068008925e-54,DOWN
B_cell,shared_all_three,LINC01136,PSNP_mix_40_200_vs_control,-0.5738792419433594,4.809059127024401e-295,DOWN
B_cell,shared_all_three,LMCD1-AS1,PSNP_mix_40_200_vs_control,-1.5537216663360596,7.337170543387031e-65,DOWN
B_cell,shared_all_three,LNP1,PSNP_mix_40_200_vs_control,-2.756584882736206,3.823805992891429e-05,DOWN
B_cell,shared_all_three,LPHN2,PSNP_mix_40_200_vs_control,-1.0705801248550415,8.730905113781143e-301,DOWN
B_cell,shared_all_three,LRGUK,PSNP_mix_40_200_vs_control,0.7099025845527649,5.274231995959076e-45,UP
B_cell,shared_all_three,LRIG1,PSNP_mix_40_200_vs_control,-0.30341631174087524,6.942054109562717e-22,DOWN
B_cell,shared_all_three,LRRN1,PSNP_mix_40_200_vs_control,0.36146682500839233,0.00011743664684259064,UP
B_cell,shared_all_three,LTF,PSNP_mix_40_200_vs_control,-1.1015292406082153,1.625668883469402e-304,DOWN
B_cell,shared_all_three,LYZ,PSNP_mix_40_200_vs_control,-0.7194872498512268,1.99614242894405e-288,DOWN
B_cell,shared_all_three,MAATS1,PSNP_mix_40_200_vs_control,2.4242892265319824,3.3585005052138646e-56,UP
B_cell,shared_all_three,MAFG-AS1,PSNP_mix_40_200_vs_control,-1.539617657661438,5.558099028636719e-55,DOWN
B_cell,shared_all_three,MAGI2,PSNP_mix_40_200_vs_control,1.4274358749389648,1.3794580671812799e-285,UP
B_cell,shared_all_three,MALAT1,PSNP_mix_40_200_vs_control,-1.1323655843734741,1.9771574150991346e-05,DOWN
B_cell,shared_all_three,MAML3,PSNP_mix_40_200_vs_control,-0.4882569909095764,5.497056636264625e-148,DOWN
B_cell,shared_all_three,MAMLD1,PSNP_mix_40_200_vs_control,-0.5234633684158325,5.524643268676489e-05,DOWN
B_cell,shared_all_three,MAP7,PSNP_mix_40_200_vs_control,1.1890876293182373,3.758736953406356e-293,UP
B_cell,shared_all_three,MAP7D2,PSNP_mix_40_200_vs_control,-1.259599208831787,2.971951323401509e-49,DOWN
B_cell,shared_all_three,MAST2,PSNP_mix_40_200_vs_control,-0.8354634642601013,1.0711934065594207e-34,DOWN
B_cell,shared_all_three,MAST4-AS1,PSNP_mix_40_200_vs_control,0.5934383869171143,1.625668883469402e-304,UP
B_cell,shared_all_three,MATN1,PSNP_mix_40_200_vs_control,-0.6265522241592407,5.6677289408633785e-297,DOWN
B_cell,shared_all_three,MB21D2,PSNP_mix_40_200_vs_control,-0.25518009066581726,0.0011179653339247308,DOWN
B_cell,shared_all_three,MCOLN2,PSNP_mix_40_200_vs_control,-0.966340959072113,9.597695105720211e-33,DOWN
B_cell,shared_all_three,MEI4,PSNP_mix_40_200_vs_control,1.3209811449050903,1.045163805147471e-56,UP
B_cell,shared_all_three,METRNL,PSNP_mix_40_200_vs_control,0.3417234420776367,6.198409132551596e-108,UP
B_cell,shared_all_three,METTL12,PSNP_mix_40_200_vs_control,0.6679876446723938,1.143667382903085e-45,UP
B_cell,shared_all_three,MFAP3L,PSNP_mix_40_200_vs_control,0.7009472846984863,1.135011856340486e-302,UP
B_cell,shared_all_three,MGAT3,PSNP_mix_40_200_vs_control,-0.31133216619491577,2.3399649806427508e-52,DOWN
B_cell,shared_all_three,MIR181A1HG,PSNP_mix_40_200_vs_control,1.577681541442871,1.0361357330331205e-14,UP
B_cell,shared_all_three,MITF,PSNP_mix_40_200_vs_control,-0.9458976984024048,1.9335899196876883e-302,DOWN
B_cell,shared_all_three,MKI67,PSNP_mix_40_200_vs_control,-0.6578741669654846,2.1895654460841024e-55,DOWN
B_cell,shared_all_three,MLF1,PSNP_mix_40_200_vs_control,1.0543197393417358,5.560236763574756e-55,UP
B_cell,shared_all_three,MMP1,PSNP_mix_40_200_vs_control,0.4029611647129059,1.970065398001716e-41,UP
B_cell,shared_all_three,MMP15,PSNP_mix_40_200_vs_control,-2.4526100158691406,6.0933548306689e-56,DOWN
B_cell,shared_all_three,MMP2,PSNP_mix_40_200_vs_control,0.593720018863678,5.559520277188278e-55,UP
B_cell,shared_all_three,MMP8,PSNP_mix_40_200_vs_control,0.43057528138160706,1.846854287623349e-05,UP
B_cell,shared_all_three,MNS1,PSNP_mix_40_200_vs_control,-1.2613881826400757,2.3282963621004547e-291,DOWN
B_cell,shared_all_three,MOB3B,PSNP_mix_40_200_vs_control,0.41933247447013855,1.4743089071266966e-11,UP
B_cell,shared_all_three,MPZL1,PSNP_mix_40_200_vs_control,-2.3301219940185547,0.0018274529210217682,DOWN
B_cell,shared_all_three,MROH9,PSNP_mix_40_200_vs_control,-0.33263564109802246,1.4774101114723518e-299,DOWN
B_cell,shared_all_three,MS4A1,PSNP_mix_40_200_vs_control,-0.7161120176315308,4.1793203552987253e-36,DOWN
B_cell,shared_all_three,MS4A7,PSNP_mix_40_200_vs_control,-1.282401442527771,5.257770115270431e-41,DOWN
B_cell,shared_all_three,MSC,PSNP_mix_40_200_vs_control,-0.3395983576774597,2.2576266793793352e-66,DOWN
B_cell,shared_all_three,MST1,PSNP_mix_40_200_vs_control,1.9302507638931274,1.5839438330116778e-65,UP
B_cell,shared_all_three,MT1G,PSNP_mix_40_200_vs_control,0.6105943918228149,8.633923334459864e-52,UP
B_cell,shared_all_three,MT1H,PSNP_mix_40_200_vs_control,0.25077393651008606,5.436364446493297e-54,UP
B_cell,shared_all_three,MYH13,PSNP_mix_40_200_vs_control,-0.43729546666145325,1.625668883469402e-304,DOWN
B_cell,shared_all_three,MYH14,PSNP_mix_40_200_vs_control,0.577749490737915,8.730905113781143e-301,UP
B_cell,shared_all_three,MYO18B,PSNP_mix_40_200_vs_control,0.9280344843864441,1.8337105261157927e-55,UP
B_cell,shared_all_three,MYO1D,PSNP_mix_40_200_vs_control,-0.5050690770149231,4.0884844228506707e-17,DOWN
B_cell,shared_all_three,NAMPT,PSNP_mix_40_200_vs_control,1.268751621246338,0.00441939166653525,UP
B_cell,shared_all_three,NANOGNB,PSNP_mix_40_200_vs_control,0.28951168060302734,1.0406132059764855e-55,UP
B_cell,shared_all_three,NCAM2,PSNP_mix_40_200_vs_control,-0.8811874985694885,7.09984188687277e-299,DOWN
B_cell,shared_all_three,NEB,PSNP_mix_40_200_vs_control,0.48548954725265503,3.731688384357333e-48,UP
B_cell,shared_all_three,NEFH,PSNP_mix_40_200_vs_control,-0.3384400010108948,1.5223025408051877e-303,DOWN
B_cell,shared_all_three,NFIX,PSNP_mix_40_200_vs_control,0.8224185109138489,3.3913007289149826e-43,UP
B_cell,shared_all_three,NMNAT3,PSNP_mix_40_200_vs_control,1.5099765062332153,6.501829316339808e-50,UP
B_cell,shared_all_three,NPC1L1,PSNP_mix_40_200_vs_control,0.3813202977180481,4.14514704836514e-306,UP
B_cell,shared_all_three,NPHP3-AS1,PSNP_mix_40_200_vs_control,-0.5807600021362305,7.09984188687277e-299,DOWN
B_cell,shared_all_three,NR4A1,PSNP_mix_40_200_vs_control,-1.0086495876312256,1.939811997140762e-47,DOWN
B_cell,shared_all_three,NSG2,PSNP_mix_40_200_vs_control,1.562464952468872,4.14514704836514e-306,UP
B_cell,shared_all_three,NSUN7,PSNP_mix_40_200_vs_control,0.8701043128967285,2.4507817416469295e-199,UP
B_cell,shared_all_three,NTN1,PSNP_mix_40_200_vs_control,0.8845555782318115,5.327168719661281e-278,UP
B_cell,shared_all_three,NTNG2,PSNP_mix_40_200_vs_control,0.3783383369445801,3.3692782328507788e-53,UP
B_cell,shared_all_three,NTRK1,PSNP_mix_40_200_vs_control,1.9264219999313354,1.625668883469402e-304,UP
B_cell,shared_all_three,NTRK3,PSNP_mix_40_200_vs_control,-0.2620011270046234,1.625668883469402e-304,DOWN
B_cell,shared_all_three,NXPH4,PSNP_mix_40_200_vs_control,-0.33671629428863525,4.301916847236188e-57,DOWN
B_cell,shared_all_three,OR2L13,PSNP_mix_40_200_vs_control,-0.9153818488121033,9.495094343084015e-232,DOWN
B_cell,shared_all_three,OSBPL1A,PSNP_mix_40_200_vs_control,-2.9043068885803223,2.5412747098629274e-50,DOWN
B_cell,shared_all_three,OVCH1-AS1,PSNP_mix_40_200_vs_control,-1.079318642616272,6.868190297361736e-265,DOWN
B_cell,shared_all_three,P2RY14,PSNP_mix_40_200_vs_control,-0.801003634929657,1.7572546456800893e-246,DOWN
B_cell,shared_all_three,PACRG,PSNP_mix_40_200_vs_control,-0.32529085874557495,6.034910102235365e-297,DOWN
B_cell,shared_all_three,PAPSS2,PSNP_mix_40_200_vs_control,0.3334657549858093,4.096424787030143e-06,UP
B_cell,shared_all_three,PARD3,PSNP_mix_40_200_vs_control,-0.2740640938282013,1.7337199073181353e-285,DOWN
B_cell,shared_all_three,PAX2,PSNP_mix_40_200_vs_control,-1.7980353832244873,1.625668883469402e-304,DOWN
B_cell,shared_all_three,PBX1,PSNP_mix_40_200_vs_control,0.40892043709754944,4.14514704836514e-306,UP
B_cell,shared_all_three,PCAT1,PSNP_mix_40_200_vs_control,0.5800653696060181,7.189624367062287e-50,UP
B_cell,shared_all_three,PCBP3,PSNP_mix_40_200_vs_control,-0.4377613365650177,7.987705431019061e-06,DOWN
B_cell,shared_all_three,PCOLCE,PSNP_mix_40_200_vs_control,0.8771944046020508,3.514288385765206e-05,UP
B_cell,shared_all_three,PCSK6,PSNP_mix_40_200_vs_control,0.3356902003288269,2.6335550416804072e-05,UP
B_cell,shared_all_three,PDE4A,PSNP_mix_40_200_vs_control,0.3559381365776062,0.00014309226402384008,UP
B_cell,shared_all_three,PGD,PSNP_mix_40_200_vs_control,-0.37208274006843567,5.177217662038672e-25,DOWN
B_cell,shared_all_three,PHACTR1,PSNP_mix_40_200_vs_control,-0.4289894998073578,5.508625463833152e-24,DOWN
B_cell,shared_all_three,PHLPP1,PSNP_mix_40_200_vs_control,0.5517106652259827,2.339469041085005e-11,UP
B_cell,shared_all_three,PHOSPHO1,PSNP_mix_40_200_vs_control,0.3353397250175476,5.34159989749991e-305,UP
B_cell,shared_all_three,PHTF1,PSNP_mix_40_200_vs_control,-0.6694056987762451,2.318396330051537e-23,DOWN
B_cell,shared_all_three,PKD2,PSNP_mix_40_200_vs_control,-0.5131771564483643,5.916786417112783e-197,DOWN
B_cell,shared_all_three,PKNOX2,PSNP_mix_40_200_vs_control,0.4934042692184448,3.682033830044396e-67,UP
B_cell,shared_all_three,PKP2,PSNP_mix_40_200_vs_control,-2.6434779167175293,3.0642611251516374e-54,DOWN
B_cell,shared_all_three,PKP4,PSNP_mix_40_200_vs_control,0.3468347489833832,1.1727777833833845e-18,UP
B_cell,shared_all_three,PLD5,PSNP_mix_40_200_vs_control,0.8534272313117981,4.41268336517505e-48,UP
B_cell,shared_all_three,PLEK,PSNP_mix_40_200_vs_control,-1.45245361328125,6.78106924983182e-21,DOWN
B_cell,shared_all_three,PLXNA4,PSNP_mix_40_200_vs_control,-0.2863626480102539,4.3531425443957736e-296,DOWN
B_cell,shared_all_three,PLXNC1,PSNP_mix_40_200_vs_control,-0.47725608944892883,7.051998685003985e-28,DOWN
B_cell,shared_all_three,PMEPA1,PSNP_mix_40_200_vs_control,-0.36976689100265503,3.338354443507736e-06,DOWN
B_cell,shared_all_three,POT1-AS1,PSNP_mix_40_200_vs_control,0.31254708766937256,5.479828415324501e-54,UP
B_cell,shared_all_three,PPBP,PSNP_mix_40_200_vs_control,0.5780508518218994,8.451592599071844e-63,UP
B_cell,shared_all_three,PPM1H,PSNP_mix_40_200_vs_control,0.36783501505851746,9.835093214410014e-66,UP
B_cell,shared_all_three,PPP1R15A,PSNP_mix_40_200_vs_control,-0.388628751039505,1.0088366697428511e-26,DOWN
B_cell,shared_all_three,PPP2R2C,PSNP_mix_40_200_vs_control,-2.393691301345825,1.135011856340486e-302,DOWN
B_cell,shared_all_three,PPP4R4,PSNP_mix_40_200_vs_control,0.2953171730041504,8.730905113781143e-301,UP
B_cell,shared_all_three,PRELID2,PSNP_mix_40_200_vs_control,-0.6030731201171875,1.157730288598689e-272,DOWN
B_cell,shared_all_three,PRKG2,PSNP_mix_40_200_vs_control,-0.25618287920951843,5.930188342128092e-52,DOWN
B_cell,shared_all_three,PRR16,PSNP_mix_40_200_vs_control,-0.2777363657951355,3.1249403973416085e-05,DOWN
B_cell,shared_all_three,PSD3,PSNP_mix_40_200_vs_control,0.29495885968208313,1.3056285822366106e-78,UP
B_cell,shared_all_three,PTCH2,PSNP_mix_40_200_vs_control,-0.6488972902297974,0.00031274698898275515,DOWN
B_cell,shared_all_three,PTCHD2,PSNP_mix_40_200_vs_control,1.6524560451507568,1.974189241819645e-67,UP
B_cell,shared_all_three,PTPN9,PSNP_mix_40_200_vs_control,-2.170215606689453,1.9993357269745164e-27,DOWN
B_cell,shared_all_three,PTPRF,PSNP_mix_40_200_vs_control,1.0962785482406616,1.5839438330116778e-65,UP
B_cell,shared_all_three,PTX3,PSNP_mix_40_200_vs_control,0.4309464395046234,9.762476683770948e-06,UP
