cell_type_ref,B_cell,CD4_T,CD8_T_cytotoxic,DC,Monocyte_CD14,Monocyte_CD16,All
B_cell,2569,44,3,0,0,0,2616
CD4_T,17,11415,70,0,4,0,11506
CD8_T_cytotoxic,7,8882,4151,0,0,0,13040
DC,17,4,0,3,5,0,29
Monocyte_CD14,12,165,7,3,1554,7,1748
NK_cell,0,117,2043,0,0,0,2160
low_confidence,37,85,29,10,61,22,244
other,16,88,27,4,64,13,212
other_T,1,1115,229,0,0,0,1345
All,2676,21915,6559,20,1688,42,32900
