Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,gene_set,cell_type,effect_class,direction,n_input_genes
GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),1/73,0.3815817824645011,0.5035628440720056,0,0,2.1150641025641024,2.037716378427825,CCL4,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Protein Tetramerization (GO:0051262),1/73,0.3815817824645011,0.5035628440720056,0,0,2.1150641025641024,2.037716378427825,ALDH1A2,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Negative Regulation Of Neuron Apoptotic Process (GO:0043524),1/74,0.385647253475754,0.5064372578270506,0,0,2.0859852476290834,1.987593867677253,PTK2B,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Proliferation (GO:0050671),1/74,0.385647253475754,0.5064372578270506,0,0,2.0859852476290834,1.987593867677253,IL15,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Gland Development (GO:0048732),1/74,0.385647253475754,0.5064372578270506,0,0,2.0859852476290834,1.987593867677253,NF1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Regulation Of Fat Cell Differentiation (GO:0045598),1/75,0.3896862007199225,0.5084236492375002,0,0,2.0576923076923075,1.9391969628488115,ALOX5,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120032),1/75,0.3896862007199225,0.5084236492375002,0,0,2.0576923076923075,1.9391969628488115,USP6NL,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Neurogenesis (GO:0050769),1/75,0.3896862007199225,0.5084236492375002,0,0,2.0576923076923075,1.9391969628488115,NPTN,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Regulation Of BMP Signaling Pathway (GO:0030510),1/75,0.3896862007199225,0.5084236492375002,0,0,2.0576923076923075,1.9391969628488115,VWC2L,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Wnt Signaling Pathway (GO:0016055),1/76,0.3936987960431698,0.5114022259645828,0,0,2.030153846153846,1.8924467629967627,TCF7L2,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Protein Secretion (GO:0050714),1/76,0.3936987960431698,0.5114022259645828,0,0,2.030153846153846,1.8924467629967627,TCF7L2,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Negative Regulation Of Cell Differentiation (GO:0045596),2/207,0.3938750063329707,0.5114022259645828,0,0,1.487162034411042,1.3856210835932536,PTK2B;HDAC9,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Actomyosin Structure Organization (GO:0031032),1/77,0.3976852099959236,0.5130394135364079,0,0,2.00334008097166,1.847268902960126,ITGB1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),1/77,0.3976852099959236,0.5130394135364079,0,0,2.00334008097166,1.847268902960126,CCL4,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Response To Stimulus (GO:0048584),1/77,0.3976852099959236,0.5130394135364079,0,0,2.00334008097166,1.847268902960126,IL15,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Regulation Of T Cell Proliferation (GO:0042129),1/77,0.3976852099959236,0.5130394135364079,0,0,2.00334008097166,1.847268902960126,IL15,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Negative Regulation Of Protein Modification Process (GO:0031400),1/78,0.4016456120388146,0.5164931592511913,0,0,1.9772227772227773,1.8035932383434456,PPP1R15A,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Long-Chain Fatty Acid Metabolic Process (GO:0001676),1/78,0.4016456120388146,0.5164931592511913,0,0,1.9772227772227773,1.8035932383434456,ALOX5,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Cytoskeleton Organization (GO:0051495),1/79,0.4055801707455224,0.5190652423690707,0,0,1.951775147928994,1.7613535560282274,PTK2B,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Endocytosis (GO:0045807),1/79,0.4055801707455224,0.5190652423690707,0,0,1.951775147928994,1.7613535560282274,IL15,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Protein Localization To Membrane (GO:1905477),1/79,0.4055801707455224,0.5190652423690707,0,0,1.951775147928994,1.7613535560282274,ITGB1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Regulation Of Protein Localization To Plasma Membrane (GO:1903076),1/80,0.4094890533403055,0.5207562210725845,0,0,1.9269717624148004,1.720487310971666,ITGB1,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Response To Type II Interferon (GO:0034341),1/80,0.4094890533403055,0.5207562210725845,0,0,1.9269717624148004,1.720487310971666,CCL4,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
GO_Biological_Process_2023,Positive Regulation Of Immune Response (GO:0050778),1/80,0.4094890533403055,0.5207562210725845,0,0,1.9269717624148004,1.720487310971666,IL15,GO_Biological_Process_2023,Monocyte_CD14,unique_40nm,UP,131
