condition,S_score,G2M_score
PSNP_40nm,0.004926126148343183,0.01634986047879862
PSNP_200nm,0.0005471128576848405,-0.017672532912658356
PSNP_mix_40_200,0.004391099296778749,0.01223748867507779
control,0.002937370356323706,0.011969381139647095
