names,scores,logfoldchanges,pvals,pvals_adj,cell_type,comparison
GPR141,35.829964,-0.2150175,3.772936787350783e-281,1.2438253145112471e-279,B_cell,PSNP_40nm_vs_control
FOXJ1,35.829964,0.022447439,3.772936787350783e-281,1.2438253145112471e-279,B_cell,PSNP_40nm_vs_control
RP11-736K20.5,35.829964,-0.0031555241,3.772936787350783e-281,1.2438253145112471e-279,B_cell,PSNP_40nm_vs_control
RP11-138I1.2,35.829964,-2.235477,3.772936787350783e-281,1.2438253145112471e-279,B_cell,PSNP_40nm_vs_control
CHI3L1,35.829964,-0.4890285,3.772936787350783e-281,1.2438253145112471e-279,B_cell,PSNP_40nm_vs_control
IL1RL1,35.829964,0.15443046,3.772936787350783e-281,1.2438253145112471e-279,B_cell,PSNP_40nm_vs_control
AC053503.4,35.829964,0.29864618,3.772936787350783e-281,1.2438253145112471e-279,B_cell,PSNP_40nm_vs_control
GS1-600G8.5,35.829964,-0.16218716,3.772936787350783e-281,1.2438253145112471e-279,B_cell,PSNP_40nm_vs_control
SCT,35.829964,0.00478814,3.772936787350783e-281,1.2438253145112471e-279,B_cell,PSNP_40nm_vs_control
CTD-2377D24.8,35.829964,0.11921983,3.772936787350783e-281,1.2438253145112471e-279,B_cell,PSNP_40nm_vs_control
RNF217,35.829964,-0.16115154,3.772936787350783e-281,1.2438253145112471e-279,B_cell,PSNP_40nm_vs_control
LINC00693,35.829964,0.2805211,3.772936787350783e-281,1.2438253145112471e-279,B_cell,PSNP_40nm_vs_control
RP11-120C12.3,35.829964,-0.15612577,3.772936787350783e-281,1.2438253145112471e-279,B_cell,PSNP_40nm_vs_control
RP11-99E15.2,35.829964,-0.034107715,3.772936787350783e-281,1.2438253145112471e-279,B_cell,PSNP_40nm_vs_control
LINC01010,35.829964,-0.30747926,3.772936787350783e-281,1.2438253145112471e-279,B_cell,PSNP_40nm_vs_control
C10orf90,35.829964,0.1418895,3.772936787350783e-281,1.2438253145112471e-279,B_cell,PSNP_40nm_vs_control
RP11-160H22.3,35.79582,,1.2829205379226232e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
RP11-644C3.1,35.79569,-1.1808175,1.288789812769629e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
MEIS1,35.79569,-2.189255,1.288789812769629e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
RP11-157D23.2,35.79569,-0.7474358,1.288789812769629e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
PPP2R2C,35.79569,-1.0370392,1.288789812769629e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
KCNE3,35.795563,0.473341,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
RP11-345M22.1,35.795563,0.39670208,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
AC092839.3,35.795563,0.6316504,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
RP11-118B18.1,35.795563,0.55560327,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
RP11-508N12.2,35.795563,0.4168885,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
NME8,35.795563,0.19433205,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
CXXC4,35.795563,0.12917037,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
ARSJ,35.795563,0.0252098,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
RP11-33A14.1,35.795563,0.35118955,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
RP11-274J16.5,35.795563,0.62203604,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
RP11-62I21.1,35.795563,0.38989538,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
RP11-160H12.2,35.795563,0.65329033,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
RP11-473M20.9,35.795563,0.21216126,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
CLC,35.795563,0.072995596,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
GTSCR1,35.795563,0.0038254187,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
FAM19A5,35.795563,0.29519472,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
AC007040.8,35.795563,0.6641724,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
RP11-548L20.1,35.795563,0.47512072,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
GRM5,35.795563,0.3028535,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
DPYSL3,35.795563,-0.41646978,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
KIR2DL3,35.795563,0.089894995,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
AC092171.4,35.795563,0.18966626,1.294685918149993e-280,3.2915743681779485e-279,B_cell,PSNP_40nm_vs_control
RP11-7K24.3,35.761543,,4.3771801438308234e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
DTNA,35.761353,-1.1685157,4.407223553522371e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
RP11-556E13.1,35.761353,-1.3119386,4.407223553522371e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
SAMSN1-AS1,35.761353,-0.45791125,4.407223553522371e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
RP11-844P9.2,35.761353,-2.3521109,4.407223553522371e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
RP11-506B6.6,35.761353,-5.6113224,4.407223553522371e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
WFDC3,35.761223,-0.41565275,4.427366875979186e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
ID1,35.76116,0.29448286,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
JPH4,35.76116,1.2119097,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
RP11-17A4.2,35.76116,0.8980311,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
LINC00499,35.76116,0.13630892,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
MLXIPL,35.76116,0.9969616,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
GPR85,35.76116,1.2752475,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
ACOT1,35.76116,0.21831973,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
ISM1,35.76116,0.13062762,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
C2orf48,35.76116,0.88243765,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
PDZD7,35.76116,0.4986379,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
SLC1A6,35.76116,0.6204327,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
SGIP1,35.76116,0.58698523,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
PRSS35,35.76116,-0.088879526,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
MKI67,35.76116,0.52417284,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
MYEOV,35.76116,0.2256234,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
RP11-462G2.2,35.76116,1.4612513,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
RP11-202G18.1,35.76116,1.2370843,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
GSC,35.76116,0.41835508,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
HORMAD2,35.76116,0.26147273,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
COLEC12,35.76116,0.1503251,4.437473008539313e-280,9.118095223025986e-279,B_cell,PSNP_40nm_vs_control
