condition,S_score,G2M_score,IFN_score,antigen_presentation_score
PSNP_40nm,0.004926126148343183,0.01634986047879862,0.004530420420483934,0.29785700021852946
PSNP_200nm,0.0005471128576848405,-0.017672532912658356,0.009624050978937706,0.3360070481259853
PSNP_mix_40_200,0.004391099296778749,0.01223748867507779,-0.001787841366312303,0.3196915490023798
control,0.002937370356323706,0.011969381139647095,0.03510090323767759,0.3654135335330096
