gene,scores,logfc,pval,padj,azimuth_cell_type,azimuth_cell_type_key,pct_in_group,pct_out_group,specificity
ABCB1,25.665201,1.3342121,2.8608105726639357e-145,2.33535556952158e-143,CD8 T,CD8_T,0.35305840870764976,0.19530776992936433,0.15775063877828543
C12orf57,24.933815,0.6663736,3.19947074794609e-137,2.559576598356872e-135,CD8 T,CD8_T,0.6225663038479226,0.560040363269425,0.06252594057849759
LRRN3,24.876919,1.3123763,1.3227306926229223e-136,1.0374358373513117e-134,CD8 T,CD8_T,0.351908630998007,0.1968213925327952,0.1550872384652118
RORA,24.863169,0.8844679,1.8630006889733858e-136,1.4330774530564506e-134,CD8 T,CD8_T,0.7696611988348918,0.6113017154389507,0.15835948339594108
IL32,24.612638,0.89074594,9.250837865553647e-134,6.852472493002701e-132,CD8 T,CD8_T,0.6911697071899432,0.523915237134208,0.16725447005573524
PRKCQ,24.306948,0.8061656,1.6552653450246844e-130,1.203829341836134e-128,CD8 T,CD8_T,0.6063927640656139,0.4831987891019174,0.12319397496369655
SYNE1,24.057665,0.8080213,6.940084338220127e-128,4.8702346233123696e-126,CD8 T,CD8_T,0.5497470489038785,0.4416750756811303,0.1080719732227482
APBA2,23.677206,0.93445724,6.192988157093345e-124,4.1986360387073526e-122,CD8 T,CD8_T,0.48482293423271494,0.34571140262361255,0.1391115316091024
RUNX2,23.046513,1.1752877,1.5942761546289804e-117,1.0454269866419545e-115,CD8 T,CD8_T,0.3545914456538402,0.22679112008072655,0.12780032557311366
PARP8,22.743717,0.6325905,1.6559298374439184e-114,1.0513840237739165e-112,CD8 T,CD8_T,0.6935459144565383,0.6079212916246217,0.08562462283191663
PPP1R14B,21.956505,0.6776481,7.505589063448635e-107,4.288908036256362e-105,CD8 T,CD8_T,0.5757320251418059,0.5070635721493442,0.06866845299246171
WWOX,21.848885,0.7040341,7.965512000267905e-106,4.425284444593281e-104,CD8 T,CD8_T,0.6110685267514946,0.5251765893037337,0.08589193744776091
RAB27A,21.847681,0.9170413,8.17822838888949e-106,4.4812210350079396e-104,CD8 T,CD8_T,0.43139659665797936,0.3208375378405651,0.11055905881741424
CLASP1,21.14138,0.59261745,3.3124296938803834e-99,1.6158193628684796e-97,CD8 T,CD8_T,0.5915989575348765,0.5312310797174572,0.06036787781741926
CXCR3,20.933435,1.650038,2.6564701075584534e-97,1.2649857655040253e-95,CD8 T,CD8_T,0.23378813429403644,0.10378405650857722,0.13000407778545922
GZMH,20.840326,2.7108424,1.8656050743386117e-96,8.677232903900521e-95,CD8 T,CD8_T,0.17185344166794417,0.038597376387487385,0.13325606528045678
CRTAM,20.826351,2.9766202,2.497761926080773e-96,1.148396287853229e-94,CD8 T,CD8_T,0.16296182738003984,0.028708375378405652,0.1342534520016342
RUNX3,20.765907,0.69934386,8.804811331382767e-96,3.9572185759023674e-94,CD8 T,CD8_T,0.541851908630998,0.44667003027245217,0.0951818783585458
FGFBP2,20.648243,1.6395792,1.0123709822460464e-94,4.401612966287158e-93,CD8 T,CD8_T,0.22995554192856044,0.09692230070635724,0.1330332412222032
NKG7,20.621687,1.3338026,1.7533937693513518e-94,7.541478577855277e-93,CD8 T,CD8_T,0.28253870918289126,0.153481331987891,0.12905737719500027
RPS14,20.286861,0.3829214,1.679830967757289e-91,6.6527959119100555e-90,CD8 T,CD8_T,0.9877357044304766,0.9658930373360244,0.02184266709445226
ZFYVE28,20.258059,1.0672472,3.01623940907061e-91,1.1828389839492589e-89,CD8 T,CD8_T,0.34953242373141186,0.2521695257315843,0.09736289799982756
APBB1IP,20.155535,0.5638383,2.406426354289369e-90,9.16733849253093e-89,CD8 T,CD8_T,0.6424957841483979,0.5680625630676086,0.07443322108078931
ARHGAP26,20.118004,0.7223709,5.133345101456327e-90,1.9371113590401236e-88,CD8 T,CD8_T,0.5100413919975471,0.4196266397578205,0.09041475223972656
PASK,19.938139,0.965279,1.899995873978935e-88,6.972461922858477e-87,CD8 T,CD8_T,0.37314119270274404,0.253380423814329,0.11976076888841503
PTPN22,19.77143,0.8597869,5.246854470523012e-87,1.857293617884252e-85,CD8 T,CD8_T,0.43308293729878883,0.3244702320887992,0.10861270520998961
C12orf75,19.585169,1.1717796,2.0692058341145292e-85,7.135192531429411e-84,CD8 T,CD8_T,0.29487965659972404,0.18198789101917257,0.11289176558055147
SMYD3,19.342617,0.60781956,2.352248032592622e-83,7.776026554025197e-82,CD8 T,CD8_T,0.6122949563084469,0.5335519677093846,0.07874298859906226
TGFBR3,19.337025,0.97028714,2.621692523608517e-83,8.525829345068348e-82,CD8 T,CD8_T,0.3721447186877203,0.2658930373360242,0.1062516813516961
RPS12,18.905886,0.36385825,1.020133699652596e-79,3.1388729220079874e-78,CD8 T,CD8_T,0.9897286524605242,0.9726538849646824,0.017074767495841803
CCND3,18.68259,0.5826266,6.860652453575993e-78,2.0178389569341154e-76,CD8 T,CD8_T,0.5759619806837344,0.5011099899091828,0.07485199077455162
RPS27,18.499403,0.34435505,2.0877595470738938e-76,5.965027277353982e-75,CD8 T,CD8_T,0.9925647708109764,0.9795156407669023,0.013049130044074042
GALNT10,18.44386,0.7859086,5.841842355063896e-76,1.645589395792647e-74,CD8 T,CD8_T,0.41146711635750416,0.31675075681130177,0.09471635954620239
PSMA1,18.438179,0.42703927,6.489070634185583e-76,1.8151246529190444e-74,CD8 T,CD8_T,0.629694925647708,0.6019677093844603,0.0277272162632477
KLRC4-KLRK1,18.314682,2.0282068,6.31950371116651e-75,1.7079739759909487e-73,CD8 T,CD8_T,0.1708569676529204,0.0522199798183653,0.11863698783455512
KLF12,18.208338,0.43764567,4.43204875607826e-74,1.1898117465981906e-72,CD8 T,CD8_T,0.7753334355357964,0.7218970736629668,0.05343636187282952
JUN,18.074326,0.87479484,5.077193515511849e-73,1.327370853728588e-71,CD8 T,CD8_T,0.361490111911697,0.26735620585267406,0.09413390605902294
RPS29,18.046385,0.3481443,8.422573725459236e-73,2.1735674130217385e-71,CD8 T,CD8_T,0.9885788747508814,0.9727043390514634,0.01587453569941799
