cell_type_ref,B_cell,CD4_T,CD8_T_cytotoxic,DC,Monocyte_CD14,Monocyte_CD16
B_cell,98.20336391437309,1.6819571865443423,0.11467889908256881,0.0,0.0,0.0
CD4_T,0.14774900052146706,99.20910829132626,0.6083782374413349,0.0,0.03476447071093343,0.0
CD8_T_cytotoxic,0.05368098159509203,68.11349693251533,31.83282208588957,0.0,0.0,0.0
DC,58.620689655172406,13.793103448275861,0.0,10.344827586206897,17.24137931034483,0.0
Monocyte_CD14,0.6864988558352403,9.439359267734554,0.40045766590389015,0.17162471395881007,88.90160183066361,0.40045766590389015
NK_cell,0.0,5.416666666666667,94.58333333333333,0.0,0.0,0.0
low_confidence,15.163934426229508,34.83606557377049,11.885245901639344,4.098360655737705,25.0,9.01639344262295
other,7.547169811320755,41.509433962264154,12.735849056603774,1.8867924528301887,30.18867924528302,6.132075471698113
other_T,0.07434944237918216,82.8996282527881,17.026022304832715,0.0,0.0,0.0
